Date,"Artralgia","Influenza aviaria","Influenzavirus A","Influenzavirus A sottotipo H1N1","Virus dell'influenza A sottotipo H1N1","Zanamivir","Influenza spagnola","Influenza e fortuna del pensiero di Nietzsche"
2015-07-01,102,46,29,42,4,15,145,68
2015-07-02,106,52,17,51,8,4,188,47
2015-07-03,78,69,14,36,7,6,147,34
2015-07-04,63,37,11,18,7,6,146,16
2015-07-05,48,49,17,27,1,8,182,39
2015-07-06,93,61,17,45,6,8,117,32
2015-07-07,90,46,19,38,5,14,152,19
2015-07-08,70,93,24,26,9,15,141,17
2015-07-09,99,82,18,38,4,8,111,14
2015-07-10,92,82,20,20,4,5,129,10
2015-07-11,66,65,13,49,3,9,149,9
2015-07-12,46,48,14,37,2,6,170,20
2015-07-13,75,76,22,23,6,11,199,12
2015-07-14,119,74,26,39,7,15,131,17
2015-07-15,84,61,15,27,10,3,122,15
2015-07-16,76,54,16,34,8,16,91,8
2015-07-17,79,49,17,26,7,8,125,17
2015-07-18,51,41,18,36,4,8,140,12
2015-07-19,38,64,14,27,6,14,123,12
2015-07-20,75,67,24,32,4,15,113,13
2015-07-21,113,67,10,32,14,8,133,4
2015-07-22,77,45,14,27,5,14,119,15
2015-07-23,71,54,14,27,6,15,171,12
2015-07-24,63,37,21,29,7,8,158,9
2015-07-25,50,42,10,18,3,7,106,3
2015-07-26,62,61,10,30,5,0,152,10
2015-07-27,76,42,15,75,8,9,126,13
2015-07-28,68,36,21,34,10,5,144,10
2015-07-29,73,46,8,22,6,2,135,6
2015-07-30,75,59,8,29,2,1,155,13
2015-07-31,53,41,4,14,5,0,155,8
2015-08-01,34,25,8,27,7,0,137,9
2015-08-02,26,42,10,26,3,2,229,7
2015-08-03,71,47,8,22,7,3,187,8
2015-08-04,71,51,7,25,2,1,159,8
2015-08-05,54,62,5,11,5,2,119,4
2015-08-06,82,41,5,21,5,8,121,8
2015-08-07,63,45,7,15,6,4,133,9
2015-08-08,42,28,4,27,7,3,419,6
2015-08-09,37,46,8,24,6,1,335,8
2015-08-10,78,40,7,16,12,7,166,12
2015-08-11,62,42,13,22,11,4,133,11
2015-08-12,57,47,10,19,11,5,113,4
2015-08-13,65,31,13,27,3,3,187,11
2015-08-14,49,41,8,16,8,2,140,3
2015-08-15,39,44,5,22,6,6,174,5
2015-08-16,48,32,8,22,18,7,185,7
2015-08-17,68,41,13,22,10,3,248,21
2015-08-18,60,57,8,24,8,9,166,13
2015-08-19,49,59,9,21,9,4,155,10
2015-08-20,66,76,7,25,6,2,194,7
2015-08-21,52,101,11,44,17,2,548,12
2015-08-22,57,51,8,26,9,6,380,13
2015-08-23,59,52,16,35,14,3,498,8
2015-08-24,67,74,11,26,12,5,229,14
2015-08-25,87,73,14,74,12,9,178,19
2015-08-26,93,280,36,435,19,14,1199,20
2015-08-27,81,116,19,112,11,8,340,12
2015-08-28,100,78,15,48,10,10,216,11
2015-08-29,68,61,16,39,12,7,160,13
2015-08-30,52,62,10,27,6,9,183,5
2015-08-31,77,74,21,40,6,6,190,15
2015-09-01,96,56,23,64,12,13,200,10
2015-09-02,99,74,19,37,14,31,156,11
2015-09-03,102,68,20,41,6,11,160,14
2015-09-04,76,52,15,52,5,5,163,16
2015-09-05,62,48,16,40,8,8,179,23
2015-09-06,68,63,13,30,14,6,157,9
2015-09-07,94,70,29,47,6,5,181,15
2015-09-08,96,54,22,36,3,8,135,12
2015-09-09,85,76,34,47,4,6,161,15
2015-09-10,69,38,37,52,14,3,153,19
2015-09-11,68,88,24,117,6,9,153,12
2015-09-12,61,42,25,77,8,10,111,10
2015-09-13,58,72,15,51,7,10,177,15
2015-09-14,83,54,19,46,5,6,160,9
2015-09-15,94,54,25,53,31,7,182,15
2015-09-16,91,53,22,40,30,10,186,10
2015-09-17,76,53,14,45,12,9,148,12
2015-09-18,71,45,19,26,7,16,170,14
2015-09-19,51,50,12,36,17,10,127,12
2015-09-20,45,45,8,21,8,10,140,11
2015-09-21,84,60,15,26,3,18,152,21
2015-09-22,91,59,11,37,4,14,155,18
2015-09-23,82,71,26,35,8,15,260,9
2015-09-24,68,68,17,35,3,12,197,21
2015-09-25,78,66,14,31,2,10,163,12
2015-09-26,49,77,10,31,10,5,182,12
2015-09-27,49,53,11,26,8,11,175,18
2015-09-28,85,47,19,30,7,15,167,17
2015-09-29,72,53,21,35,7,8,163,14
2015-09-30,94,62,23,71,0,11,184,14
2015-10-01,89,56,11,81,4,10,169,11
2015-10-02,66,64,23,179,25,7,167,15
2015-10-03,61,37,10,58,8,3,175,16
2015-10-04,57,57,11,60,2,6,183,14
2015-10-05,103,59,16,56,11,13,175,16
2015-10-06,98,73,22,51,9,10,189,21
2015-10-07,103,78,29,53,6,5,175,19
2015-10-08,268,69,15,41,12,8,140,22
2015-10-09,175,53,23,50,4,11,162,14
2015-10-10,71,62,10,49,5,6,183,16
2015-10-11,90,71,11,29,4,6,420,15
2015-10-12,153,71,22,38,7,4,204,29
2015-10-13,87,36,12,39,7,3,230,19
2015-10-14,111,56,24,46,3,7,176,14
2015-10-15,106,57,13,38,5,5,190,24
2015-10-16,95,44,10,36,7,11,228,13
2015-10-17,56,43,14,39,10,6,185,12
2015-10-18,62,62,16,55,7,7,214,18
2015-10-19,91,52,23,37,33,11,212,12
2015-10-20,83,63,35,55,44,11,273,10
2015-10-21,83,50,29,43,7,11,166,14
2015-10-22,77,73,18,41,4,13,170,15
2015-10-23,65,60,15,43,7,7,169,20
2015-10-24,45,42,14,32,9,7,158,6
2015-10-25,52,46,10,35,7,6,379,10
2015-10-26,73,55,20,47,7,6,279,15
2015-10-27,76,119,13,55,6,8,190,15
2015-10-28,115,124,19,71,3,5,235,12
2015-10-29,94,107,20,57,8,11,239,10
2015-10-30,81,71,20,39,5,6,250,14
2015-10-31,59,220,21,57,7,2,221,6
2015-11-01,72,67,8,39,6,9,273,15
2015-11-02,86,75,30,38,7,12,207,14
2015-11-03,79,58,12,39,5,7,246,16
2015-11-04,108,80,14,40,5,6,309,6
2015-11-05,89,53,27,51,4,13,218,13
2015-11-06,77,51,11,44,3,10,220,16
2015-11-07,56,42,11,29,2,5,190,16
2015-11-08,52,53,14,26,7,13,324,16
2015-11-09,80,60,19,67,8,10,361,12
2015-11-10,98,70,21,66,13,11,288,16
2015-11-11,83,56,17,56,9,15,249,17
2015-11-12,82,74,21,47,13,10,197,15
2015-11-13,77,50,15,29,4,14,178,18
2015-11-14,55,44,13,31,2,12,158,18
2015-11-15,43,56,9,40,4,13,241,14
2015-11-16,79,80,23,41,6,12,222,24
2015-11-17,74,74,32,42,3,11,209,21
2015-11-18,78,54,33,32,9,12,249,32
2015-11-19,90,60,24,58,6,15,208,20
2015-11-20,79,66,27,49,6,17,228,19
2015-11-21,49,47,18,42,3,5,198,23
2015-11-22,56,57,13,57,5,8,272,11
2015-11-23,74,70,18,42,5,11,259,11
2015-11-24,102,54,15,44,7,14,254,18
2015-11-25,113,86,17,49,40,7,239,14
2015-11-26,82,75,33,65,22,15,520,10
2015-11-27,82,79,16,65,12,7,1021,21
2015-11-28,60,57,15,45,19,5,618,17
2015-11-29,60,75,20,62,9,10,491,14
2015-11-30,79,62,21,38,5,6,298,11
2015-12-01,110,80,22,45,11,15,326,27
2015-12-02,84,97,27,52,14,5,317,14
2015-12-03,59,75,14,36,4,10,240,14
2015-12-04,72,316,12,47,6,10,377,15
2015-12-05,75,182,6,33,6,5,237,26
2015-12-06,51,75,17,53,7,6,243,19
2015-12-07,88,89,28,63,8,10,198,19
2015-12-08,44,67,20,49,4,8,285,32
2015-12-09,100,83,31,43,2,17,228,26
2015-12-10,75,57,25,58,4,10,206,17
2015-12-11,88,67,25,68,10,40,175,20
2015-12-12,55,62,21,45,14,9,346,7
2015-12-13,47,44,27,37,4,15,238,20
2015-12-14,87,59,34,36,9,13,330,12
2015-12-15,87,73,17,41,8,27,207,31
2015-12-16,84,57,15,35,4,18,186,24
2015-12-17,76,61,23,40,6,18,220,22
2015-12-18,71,50,19,44,5,9,162,21
2015-12-19,41,45,8,18,7,7,149,11
2015-12-20,53,37,11,25,1,15,161,18
2015-12-21,81,50,10,51,43,8,163,23
2015-12-22,74,42,13,41,12,4,196,14
2015-12-23,60,38,10,36,3,3,153,17
2015-12-24,31,44,12,40,2,2,183,5
2015-12-25,54,38,8,40,4,2,211,13
2015-12-26,51,37,9,41,9,7,289,13
2015-12-27,55,45,9,41,8,9,244,10
2015-12-28,75,57,8,39,9,14,242,14
2015-12-29,80,202,13,67,19,17,219,23
2015-12-30,82,64,8,86,6,14,245,17
2015-12-31,63,49,18,322,6,9,183,18
