Date,"Artralgia","Influenza aviaria","Influenzavirus A","Influenzavirus A sottotipo H1N1","Virus dell'influenza A sottotipo H1N1","Zanamivir","Influenza spagnola","Influenza e fortuna del pensiero di Nietzsche"
2018-04-04,74,98,29,93,2,11,347,22
2018-04-05,63,86,15,101,8,11,368,27
2018-04-06,47,81,39,96,7,16,304,22
2018-04-07,43,89,26,73,3,5,345,14
2018-04-08,45,92,26,86,7,1,379,24
2018-04-09,61,79,25,77,8,8,311,29
2018-04-10,75,89,25,86,9,7,274,29
2018-04-11,80,93,29,87,5,9,305,19
2018-04-12,76,92,31,62,8,5,276,33
2018-04-13,64,102,22,70,6,9,223,26
2018-04-14,59,86,37,64,6,6,225,25
2018-04-15,64,70,34,72,6,9,344,16
2018-04-16,87,81,24,73,4,9,283,27
2018-04-17,80,104,36,64,5,6,237,29
2018-04-18,78,124,37,82,5,15,236,21
2018-04-19,77,108,27,46,4,5,258,31
2018-04-20,67,94,14,63,10,7,245,24
2018-04-21,41,48,7,54,6,5,238,19
2018-04-22,40,69,15,48,8,3,217,17
2018-04-23,72,89,21,60,8,9,216,13
2018-04-24,59,74,19,72,5,10,234,17
2018-04-25,41,80,14,60,3,7,281,12
2018-04-26,67,78,30,49,3,6,195,22
2018-04-27,62,83,23,41,6,3,307,23
2018-04-28,39,77,24,57,1,9,261,14
2018-04-29,36,82,15,52,8,10,297,16
2018-04-30,50,85,28,48,6,6,306,14
2018-05-01,48,66,30,61,4,5,362,20
2018-05-02,65,87,26,53,4,5,359,20
2018-05-03,58,133,33,74,10,6,333,29
2018-05-04,68,120,15,67,13,5,268,30
2018-05-05,52,114,21,68,13,4,327,18
2018-05-06,53,92,35,80,13,6,409,37
2018-05-07,83,152,30,80,10,11,329,30
2018-05-08,81,110,26,77,9,6,271,26
2018-05-09,79,141,36,52,17,16,258,24
2018-05-10,86,155,32,109,76,13,279,30
2018-05-11,78,75,23,47,11,8,294,28
2018-05-12,45,76,23,47,10,1,306,41
2018-05-13,44,88,20,53,23,6,416,31
2018-05-14,75,109,33,75,9,11,385,41
2018-05-15,77,98,39,84,15,14,474,41
2018-05-16,71,127,44,68,13,13,438,36
2018-05-17,88,100,21,118,8,11,345,53
2018-05-18,77,114,28,112,48,16,337,34
2018-05-19,56,63,20,37,5,3,201,21
2018-05-20,55,82,31,80,5,7,391,40
2018-05-21,68,87,32,51,5,8,290,45
2018-05-22,69,109,49,84,2,8,313,36
2018-05-23,77,105,38,87,9,4,303,31
2018-05-24,68,121,33,59,6,6,318,35
2018-05-25,58,107,25,65,9,11,291,29
2018-05-26,45,79,12,48,6,10,299,36
2018-05-27,39,63,22,46,6,5,274,25
2018-05-28,85,91,30,49,5,11,290,43
2018-05-29,64,84,32,51,9,19,320,56
2018-05-30,74,89,30,74,4,6,396,34
2018-05-31,62,64,49,66,2,8,370,49
2018-06-01,38,66,28,49,3,8,336,37
2018-06-02,50,82,11,65,11,7,763,23
2018-06-03,48,77,20,60,5,10,458,49
2018-06-04,61,65,29,81,20,15,356,55
2018-06-05,58,84,42,92,18,13,475,88
2018-06-06,68,98,38,79,9,12,611,72
2018-06-07,60,104,27,90,14,11,501,71
2018-06-08,74,76,34,65,5,15,405,48
2018-06-09,48,78,27,48,8,8,327,59
2018-06-10,59,65,26,40,9,9,350,84
2018-06-11,59,77,29,72,12,15,369,108
2018-06-12,70,74,37,44,1,7,444,106
2018-06-13,54,73,23,51,8,12,408,104
2018-06-14,65,113,26,78,6,7,428,89
2018-06-15,44,339,38,73,8,12,506,96
2018-06-16,45,307,59,83,4,6,505,66
2018-06-17,33,124,28,50,6,9,434,68
2018-06-18,73,127,39,59,7,3,459,88
2018-06-19,64,133,30,52,5,9,427,96
2018-06-20,60,98,63,54,5,7,314,37
2018-06-21,51,111,26,48,7,13,288,19
2018-06-22,39,73,30,62,15,7,352,23
2018-06-23,44,110,29,38,4,10,313,31
2018-06-24,36,75,31,54,7,6,316,43
2018-06-25,55,94,28,50,5,18,321,34
2018-06-26,67,90,32,67,5,11,327,76
2018-06-27,47,84,34,57,9,15,306,47
2018-06-28,50,99,26,50,2,9,369,71
2018-06-29,44,65,30,43,4,14,351,64
2018-06-30,37,73,22,53,3,10,247,33
2018-07-01,39,73,27,48,5,14,682,42
2018-07-02,60,73,25,31,5,9,482,50
2018-07-03,48,60,14,29,3,4,346,33
2018-07-04,33,63,23,32,2,5,195,36
2018-07-05,40,82,12,30,4,5,252,24
2018-07-06,40,64,23,45,4,7,343,8
2018-07-07,38,61,24,25,5,6,316,4
2018-07-08,29,19,6,31,6,6,367,7
2018-07-09,21,26,20,21,7,16,246,7
2018-07-10,20,36,25,30,5,7,266,6
2018-07-11,19,33,44,16,3,5,246,4
2018-07-12,57,23,35,32,4,11,256,4
2018-07-13,39,41,33,24,4,13,237,2
2018-07-14,37,28,26,52,2,12,240,4
2018-07-15,53,26,37,33,8,16,380,6
2018-07-16,48,38,36,48,4,15,296,7
2018-07-17,44,20,19,42,2,7,257,5
2018-07-18,56,224,37,48,6,15,243,2
2018-07-19,53,104,25,46,3,2,241,4
2018-07-20,47,75,18,32,4,11,211,11
2018-07-21,30,55,30,31,4,6,239,14
2018-07-22,32,59,19,40,4,6,291,5
2018-07-23,50,72,31,26,6,4,238,4
2018-07-24,49,62,15,42,3,10,208,9
2018-07-25,57,71,27,42,2,20,339,4
2018-07-26,64,54,22,40,4,8,276,6
2018-07-27,38,55,11,26,5,2,236,13
2018-07-28,29,41,11,32,5,2,222,6
2018-07-29,42,56,9,46,3,1,289,10
2018-07-30,50,50,20,48,9,5,222,17
2018-07-31,39,48,19,44,5,1,410,19
2018-08-01,50,59,19,33,10,4,290,7
2018-08-02,52,53,20,41,4,4,220,8
2018-08-03,77,93,12,71,7,3,764,3
2018-08-04,46,56,3,36,1,3,329,7
2018-08-05,39,60,18,41,7,4,250,29
2018-08-06,71,45,45,38,5,4,277,4
2018-08-07,68,70,25,34,4,8,272,11
2018-08-08,57,53,19,52,8,4,296,10
2018-08-09,42,79,18,33,5,2,326,6
2018-08-10,58,70,14,39,1,4,269,17
2018-08-11,50,79,18,43,5,0,338,10
2018-08-12,57,70,19,32,10,4,387,9
2018-08-13,67,62,16,40,5,7,356,7
2018-08-14,56,137,13,54,8,4,269,9
2018-08-15,41,60,13,35,6,4,219,15
2018-08-16,56,44,11,31,2,9,247,2
2018-08-17,76,68,10,24,5,5,205,10
2018-08-18,41,62,18,33,11,5,233,7
2018-08-19,63,45,9,28,4,9,231,12
2018-08-20,71,76,16,39,3,4,274,9
2018-08-21,65,82,24,41,7,9,253,12
2018-08-22,90,81,26,54,6,6,276,5
2018-08-23,92,89,24,44,13,12,265,14
2018-08-24,98,63,14,53,5,7,227,13
2018-08-25,68,77,18,29,4,5,221,16
2018-08-26,44,62,14,32,8,8,243,6
2018-08-27,51,81,29,30,3,10,243,12
2018-08-28,73,93,22,36,10,9,255,15
2018-08-29,72,77,35,48,22,13,304,11
2018-08-30,99,105,34,44,17,13,309,17
2018-08-31,75,85,27,49,8,10,368,21
2018-09-01,60,84,30,70,7,13,361,19
2018-09-02,60,81,16,66,14,15,348,2
2018-09-03,80,100,34,48,61,12,274,10
2018-09-04,80,98,38,60,21,2,283,12
2018-09-05,82,78,40,61,5,6,317,11
2018-09-06,75,91,41,55,10,13,310,15
2018-09-07,81,65,29,38,7,7,215,18
2018-09-08,48,90,25,50,2,11,273,14
2018-09-09,55,117,37,60,5,2,331,12
2018-09-10,78,166,39,58,4,17,278,15
2018-09-11,86,125,52,51,6,12,314,7
2018-09-12,83,62,35,72,5,12,266,13
2018-09-13,81,78,42,62,5,10,264,15
2018-09-14,71,89,81,59,7,13,195,9
2018-09-15,56,79,26,63,5,9,330,16
2018-09-16,47,53,42,57,4,17,457,19
2018-09-17,91,92,31,53,5,13,412,16
2018-09-18,87,111,40,62,3,19,349,11
2018-09-19,77,86,35,38,4,9,276,13
2018-09-20,76,65,28,49,4,12,315,6
2018-09-21,116,59,32,53,3,9,314,5
2018-09-22,58,67,38,55,8,5,888,5
2018-09-23,47,65,27,44,4,6,612,7
2018-09-24,76,53,29,50,5,15,311,19
2018-09-25,74,70,45,64,5,16,269,15
2018-09-26,74,84,41,53,3,9,308,8
2018-09-27,74,65,36,65,4,6,266,7
2018-09-28,67,108,26,48,5,7,247,7
2018-09-29,49,49,20,38,4,5,235,4
2018-09-30,45,72,27,48,4,4,287,11
2018-10-01,84,66,31,52,7,7,270,4
2018-10-02,71,59,35,54,3,3,273,9
2018-10-03,64,65,23,54,11,5,335,13
2018-10-04,56,79,36,40,44,7,298,6
2018-10-05,65,46,30,45,15,4,229,10
2018-10-06,53,66,28,44,9,3,261,10
2018-10-07,48,66,39,50,6,3,343,11
2018-10-08,68,67,52,53,14,12,500,18
2018-10-09,78,75,29,43,6,9,444,7
2018-10-10,48,56,36,45,7,13,315,13
2018-10-11,120,67,29,46,0,11,283,10
2018-10-12,69,59,26,34,5,2,368,17
2018-10-13,56,60,26,42,4,6,408,10
2018-10-14,52,98,39,63,4,10,400,14
2018-10-15,80,62,43,61,5,7,352,15
2018-10-16,80,77,38,60,3,8,291,13
2018-10-17,88,93,33,67,3,6,352,17
2018-10-18,80,76,56,58,7,4,319,10
2018-10-19,73,65,30,40,0,7,319,21
2018-10-20,46,57,40,31,0,5,291,9
2018-10-21,62,59,26,37,4,9,387,7
2018-10-22,89,70,32,52,7,6,367,18
2018-10-23,77,98,46,77,11,7,425,12
2018-10-24,58,60,40,55,5,11,461,29
2018-10-25,109,70,35,51,5,13,404,12
2018-10-26,69,60,35,53,8,10,344,9
2018-10-27,39,51,27,55,5,10,347,2
2018-10-28,56,153,52,197,9,9,875,8
2018-10-29,66,76,32,64,3,6,351,14
2018-10-30,66,72,36,60,6,8,342,14
2018-10-31,65,69,31,42,6,12,396,18
2018-11-01,43,75,48,55,8,6,663,9
2018-11-02,70,66,42,61,7,12,494,13
2018-11-03,51,56,22,42,6,13,473,21
2018-11-04,71,86,39,81,8,6,1222,21
2018-11-05,97,98,65,74,7,14,603,9
2018-11-06,79,86,52,45,8,15,385,17
2018-11-07,101,69,40,62,6,9,326,13
2018-11-08,80,65,47,60,6,10,381,13
2018-11-09,91,69,38,49,7,3,436,14
2018-11-10,56,69,50,71,6,15,394,15
2018-11-11,62,88,38,69,10,18,682,12
2018-11-12,95,92,50,59,5,12,458,16
2018-11-13,73,79,47,64,7,18,380,18
2018-11-14,73,97,41,57,2,19,399,18
2018-11-15,77,71,56,52,2,8,391,10
2018-11-16,76,76,46,53,3,5,348,14
2018-11-17,42,74,49,38,3,11,383,16
2018-11-18,57,88,51,66,1,8,547,9
2018-11-19,61,65,42,50,8,15,419,28
2018-11-20,86,84,76,72,5,12,414,7
2018-11-21,92,60,53,68,14,11,365,12
2018-11-22,74,61,54,68,6,16,410,11
2018-11-23,58,52,41,58,8,7,346,9
2018-11-24,32,37,54,55,5,10,333,14
2018-11-25,45,55,27,57,4,12,413,9
2018-11-26,65,61,46,70,7,3,389,16
2018-11-27,66,76,44,57,12,3,334,15
2018-11-28,35,57,51,63,11,5,373,20
2018-11-29,57,53,37,63,8,9,313,20
2018-11-30,30,51,51,58,6,12,325,13
2018-12-01,19,45,33,48,7,5,340,15
2018-12-02,40,53,56,54,9,9,331,9
2018-12-03,47,126,53,141,7,10,675,18
2018-12-04,48,87,71,67,11,9,397,20
2018-12-05,46,64,58,59,10,12,312,23
2018-12-06,58,58,48,45,4,10,330,10
2018-12-07,32,78,48,51,6,9,281,22
