Date,"Artralgia","Influenza aviaria","Influenzavirus A","Influenzavirus A sottotipo H1N1","Virus dell'influenza A sottotipo H1N1","Zanamivir","Influenza spagnola","Influenza e fortuna del pensiero di Nietzsche"
2018-01-01,40,127,56,179,18,15,457,8
2018-01-02,64,144,60,179,11,15,522,12
2018-01-03,85,195,82,301,22,29,1070,12
2018-01-04,81,148,80,314,21,25,638,11
2018-01-05,61,196,65,346,20,39,615,14
2018-01-06,147,430,109,2636,29,41,635,14
2018-01-07,184,466,126,3191,46,34,735,18
2018-01-08,103,254,102,891,13,29,487,11
2018-01-09,89,187,122,500,15,27,466,22
2018-01-10,117,188,104,369,16,24,480,23
2018-01-11,92,212,73,563,24,26,508,18
2018-01-12,88,196,89,549,25,27,430,38
2018-01-13,54,169,101,470,26,22,487,12
2018-01-14,49,155,76,281,25,26,496,19
2018-01-15,98,165,83,342,16,32,442,21
2018-01-16,59,141,86,372,15,20,635,14
2018-01-17,82,200,85,302,19,21,639,29
2018-01-18,105,243,70,592,25,22,567,34
2018-01-19,69,226,97,480,22,26,547,13
2018-01-20,60,176,68,304,17,18,603,15
2018-01-21,57,158,58,234,14,21,605,24
2018-01-22,92,157,80,233,14,25,509,16
2018-01-23,81,148,109,271,24,29,1123,22
2018-01-24,65,200,115,335,20,26,612,29
2018-01-25,75,217,52,255,20,16,446,20
2018-01-26,81,231,78,608,29,26,432,28
2018-01-27,52,146,61,388,22,18,430,14
2018-01-28,55,155,60,248,12,19,373,13
2018-01-29,63,198,46,344,22,32,572,19
2018-01-30,62,172,58,300,20,25,610,24
2018-01-31,76,170,64,228,16,15,451,21
2018-02-01,97,172,70,220,9,22,559,24
2018-02-02,52,159,135,276,12,18,455,17
2018-02-03,49,362,68,434,20,28,436,17
2018-02-04,63,175,64,356,23,19,497,18
2018-02-05,92,258,187,828,27,11,365,22
2018-02-06,80,174,166,517,15,35,562,16
2018-02-07,92,214,85,578,21,18,409,15
2018-02-08,68,146,67,299,12,12,420,26
2018-02-09,65,120,46,241,5,13,322,18
2018-02-10,41,101,49,179,8,21,324,12
2018-02-11,33,89,50,158,16,8,336,16
2018-02-12,68,115,61,150,13,13,385,17
2018-02-13,60,117,68,175,17,5,329,17
2018-02-14,79,112,50,144,16,16,542,17
2018-02-15,71,132,51,199,11,15,530,9
2018-02-16,50,102,67,206,11,23,386,12
2018-02-17,52,119,53,182,13,14,723,16
2018-02-18,51,107,58,144,12,14,407,25
2018-02-19,91,144,64,148,7,20,401,29
2018-02-20,77,146,53,171,8,21,378,21
2018-02-21,68,127,65,181,10,16,352,32
2018-02-22,84,105,62,146,10,22,333,20
2018-02-23,81,108,51,178,17,12,341,7
2018-02-24,57,77,36,123,4,4,277,10
2018-02-25,47,95,38,121,11,11,320,15
2018-02-26,69,95,61,133,11,27,363,25
2018-02-27,76,94,45,89,9,11,284,25
2018-02-28,57,87,29,80,8,10,361,23
2018-03-01,74,105,42,119,6,11,342,27
2018-03-02,62,104,32,96,12,9,292,26
2018-03-03,58,75,29,91,5,5,333,24
2018-03-04,53,87,22,112,3,11,342,17
2018-03-05,51,75,30,88,5,4,223,12
2018-03-06,65,105,43,115,6,11,277,30
2018-03-07,73,105,27,103,18,13,331,21
2018-03-08,53,120,43,128,6,14,437,30
2018-03-09,55,101,22,113,15,7,280,20
2018-03-10,54,116,27,93,10,6,332,25
2018-03-11,59,101,26,78,10,8,320,22
2018-03-12,72,151,39,112,27,13,1086,15
2018-03-13,58,135,40,102,21,8,568,18
2018-03-14,81,203,21,109,9,6,310,23
2018-03-15,65,187,30,99,10,2,275,34
2018-03-16,69,129,32,57,11,12,268,31
2018-03-17,55,105,26,71,4,5,237,24
2018-03-18,44,114,22,68,4,12,299,21
2018-03-19,77,98,37,68,10,12,384,21
2018-03-20,76,119,44,77,11,6,304,22
2018-03-21,63,101,43,85,46,10,411,19
2018-03-22,75,86,28,89,18,16,277,23
2018-03-23,65,85,39,134,7,15,268,23
2018-03-24,52,79,12,76,5,13,215,19
2018-03-25,47,103,15,67,8,6,267,14
2018-03-26,63,98,28,76,11,10,275,19
2018-03-27,58,132,26,115,12,8,2222,28
2018-03-28,56,150,21,86,3,18,570,18
2018-03-29,53,114,24,54,3,2,291,20
2018-03-30,47,99,12,60,5,5,296,24
2018-03-31,35,107,15,65,7,6,246,12
2018-04-01,33,132,24,87,4,1,347,11
2018-04-02,28,98,20,68,7,4,309,19
2018-04-03,73,102,14,66,6,9,242,24
