Date,"Influenza","Febbre","Rinorrea","Mialgia","Cefalea","Vomito","Vaccino influenza stagionale","Vaccino antinfluenzale","Amantadina","Antivirale"
2015-07-01,121,431,46,187,368,226,1,22,65,52
2015-07-02,94,386,51,160,380,211,0,28,89,49
2015-07-03,103,342,47,136,300,262,0,19,51,61
2015-07-04,76,340,26,130,229,231,0,5,46,43
2015-07-05,99,330,35,123,213,265,0,10,66,47
2015-07-06,99,365,62,163,308,268,2,12,72,35
2015-07-07,97,403,60,152,296,243,0,17,71,58
2015-07-08,98,401,45,133,281,239,0,17,86,39
2015-07-09,87,363,54,148,298,217,1,10,71,60
2015-07-10,98,305,53,131,289,247,0,19,58,39
2015-07-11,74,365,55,128,219,213,0,19,63,33
2015-07-12,89,407,38,113,236,259,0,19,47,47
2015-07-13,146,457,46,175,373,261,6,24,76,44
2015-07-14,110,396,51,134,288,218,0,21,62,40
2015-07-15,101,415,58,132,299,241,0,26,70,48
2015-07-16,84,413,47,116,311,248,0,14,72,47
2015-07-17,55,379,42,134,332,254,1,21,71,33
2015-07-18,60,341,30,116,210,213,0,16,65,37
2015-07-19,90,396,31,108,227,277,1,18,49,35
2015-07-20,75,414,45,145,261,283,0,25,70,56
2015-07-21,104,414,48,132,268,213,1,17,57,42
2015-07-22,88,409,48,135,228,235,1,9,67,44
2015-07-23,82,445,35,129,261,190,0,21,74,26
2015-07-24,86,337,45,128,220,216,0,14,75,38
2015-07-25,58,335,26,101,180,214,0,16,47,32
2015-07-26,91,397,45,98,216,266,0,13,66,43
2015-07-27,94,406,44,138,322,288,1,13,66,42
2015-07-28,82,452,51,145,263,265,0,7,63,44
2015-07-29,93,355,34,127,294,224,0,18,31,42
2015-07-30,108,321,30,142,291,233,1,19,22,47
2015-07-31,65,311,33,118,246,209,0,12,15,40
2015-08-01,50,267,26,81,209,190,0,3,17,28
2015-08-02,62,272,28,111,201,202,0,5,17,44
2015-08-03,58,302,47,115,223,200,0,8,19,26
2015-08-04,56,279,35,128,272,216,0,8,18,34
2015-08-05,57,309,40,135,275,219,0,12,18,31
2015-08-06,87,329,37,128,250,189,0,5,28,38
2015-08-07,56,287,41,132,219,200,0,8,22,40
2015-08-08,72,285,39,96,206,193,0,9,17,31
2015-08-09,98,316,37,118,237,224,0,7,8,36
2015-08-10,173,312,35,130,240,212,0,9,22,39
2015-08-11,112,337,48,157,295,214,0,7,21,35
2015-08-12,93,364,38,144,306,236,0,10,19,26
2015-08-13,218,344,53,132,247,183,0,6,21,30
2015-08-14,100,335,28,117,218,196,0,9,29,32
2015-08-15,133,269,26,113,189,193,0,2,13,27
2015-08-16,78,401,36,125,265,271,0,6,23,20
2015-08-17,113,349,37,149,264,228,0,15,22,41
2015-08-18,114,386,44,133,272,245,0,9,37,38
2015-08-19,162,385,44,139,293,241,0,11,38,51
2015-08-20,169,351,55,154,280,258,0,13,23,24
2015-08-21,220,373,47,113,333,220,0,14,28,45
2015-08-22,170,368,42,105,252,201,0,5,34,34
2015-08-23,173,376,36,120,305,253,0,16,26,36
2015-08-24,262,457,43,153,325,244,0,19,35,42
2015-08-25,117,411,80,200,351,274,0,15,32,39
2015-08-26,237,398,75,193,340,259,0,20,46,40
2015-08-27,176,378,53,170,310,274,0,23,39,48
2015-08-28,154,393,51,189,400,279,0,27,47,44
2015-08-29,161,369,39,129,286,229,0,12,32,31
2015-08-30,149,390,47,125,313,244,0,12,36,32
2015-08-31,183,424,56,154,378,273,0,16,35,43
2015-09-01,321,485,54,154,361,260,0,18,44,48
2015-09-02,193,450,61,162,395,210,1,35,47,41
2015-09-03,331,427,65,149,325,261,0,26,62,48
2015-09-04,200,442,52,151,359,230,1,52,58,55
2015-09-05,141,381,48,129,268,255,1,24,48,27
2015-09-06,171,392,43,132,292,285,0,18,42,33
2015-09-07,213,437,53,161,348,268,0,41,66,52
2015-09-08,202,444,51,150,356,245,0,24,32,49
2015-09-09,143,448,65,127,370,215,0,23,60,41
2015-09-10,134,463,52,172,322,217,0,27,52,47
2015-09-11,108,411,61,140,347,240,0,35,42,40
2015-09-12,110,358,43,109,245,241,0,15,38,23
2015-09-13,101,395,52,117,280,227,0,14,46,25
2015-09-14,143,439,58,122,392,231,0,33,56,53
2015-09-15,161,511,55,178,330,263,2,34,53,31
2015-09-16,158,486,57,113,354,211,0,48,59,49
2015-09-17,150,468,65,126,338,173,0,35,57,49
2015-09-18,143,395,59,151,310,193,0,37,38,59
2015-09-19,101,416,50,122,243,209,0,24,38,36
2015-09-20,134,451,55,116,300,246,0,24,38,40
2015-09-21,183,452,56,136,376,228,1,36,39,31
2015-09-22,185,506,58,127,326,220,0,35,44,44
2015-09-23,180,525,68,132,384,209,0,41,30,48
2015-09-24,173,507,58,123,352,244,0,28,57,44
2015-09-25,143,450,55,121,277,240,0,38,37,36
2015-09-26,148,449,52,116,257,279,0,26,27,37
2015-09-27,166,451,60,98,263,233,0,30,39,38
2015-09-28,229,550,71,128,332,247,2,34,43,53
2015-09-29,214,547,62,104,353,217,1,34,33,46
2015-09-30,261,562,60,160,332,242,0,60,31,35
2015-10-01,196,488,68,141,345,212,0,45,26,53
2015-10-02,217,429,54,123,311,202,2,36,34,53
2015-10-03,172,466,44,134,237,186,0,28,29,33
2015-10-04,214,478,57,120,252,218,0,47,18,39
2015-10-05,215,558,56,147,401,262,0,46,32,39
2015-10-06,229,561,59,151,358,226,0,77,44,52
2015-10-07,221,522,76,148,404,197,0,78,50,44
2015-10-08,202,469,70,219,390,232,1,57,36,44
2015-10-09,208,471,50,164,351,181,1,54,40,51
2015-10-10,238,465,64,148,290,241,2,56,25,44
2015-10-11,206,481,52,125,287,250,0,50,25,30
2015-10-12,248,517,68,187,322,274,1,81,35,54
2015-10-13,232,563,85,165,365,228,0,75,29,47
2015-10-14,219,453,78,160,351,271,1,60,34,35
2015-10-15,203,525,76,152,366,199,0,77,55,37
2015-10-16,176,418,59,161,332,243,4,115,29,49
2015-10-17,166,412,53,141,273,223,0,92,35,43
2015-10-18,156,442,81,140,280,253,1,72,31,46
2015-10-19,215,523,69,140,374,270,3,112,51,46
2015-10-20,218,480,71,183,354,221,0,95,42,49
2015-10-21,215,538,69,173,389,230,0,90,41,39
2015-10-22,166,491,63,146,318,215,0,95,43,54
2015-10-23,172,386,55,126,282,198,1,78,46,46
2015-10-24,178,422,42,105,263,194,0,76,37,37
