Date,"Influenza","Febbre","Rinorrea","Mialgia","Cefalea","Vomito","Vaccino influenza stagionale","Vaccino antinfluenzale","Amantadina","Antivirale"
2015-10-25,153,467,51,107,276,255,0,68,22,41
2015-10-26,171,528,62,135,401,261,0,91,51,40
2015-10-27,200,481,62,138,348,237,0,119,42,43
2015-10-28,213,494,54,158,346,266,1,111,41,43
2015-10-29,191,460,54,138,345,239,1,110,59,53
2015-10-30,164,383,69,140,331,238,0,101,35,48
2015-10-31,133,365,43,93,233,256,2,66,25,39
2015-11-01,154,439,51,142,270,282,2,83,33,35
2015-11-02,165,488,86,183,359,260,2,154,56,52
2015-11-03,174,490,63,150,334,255,0,130,44,39
2015-11-04,225,526,85,179,415,263,0,138,73,64
2015-11-05,226,471,66,165,393,272,0,112,58,60
2015-11-06,177,453,51,144,416,208,1,132,39,44
2015-11-07,177,414,55,101,272,253,0,92,23,43
2015-11-08,192,463,66,106,327,303,0,84,31,34
2015-11-09,199,501,51,178,401,328,0,167,46,64
2015-11-10,243,484,67,163,384,290,1,153,67,43
2015-11-11,200,463,50,136,419,249,1,123,54,52
2015-11-12,200,464,57,193,399,291,0,147,65,55
2015-11-13,178,432,72,132,378,242,0,123,45,58
2015-11-14,129,356,38,114,219,239,0,101,35,38
2015-11-15,149,388,45,116,303,245,0,85,52,49
2015-11-16,209,494,61,136,353,285,0,140,75,68
2015-11-17,191,477,75,138,390,250,2,187,46,48
2015-11-18,217,465,52,155,359,258,0,186,64,155
2015-11-19,200,489,68,172,415,282,0,138,62,55
2015-11-20,166,437,55,141,405,237,3,130,54,39
2015-11-21,150,443,45,140,290,219,0,97,36,41
2015-11-22,164,479,66,116,270,312,1,81,40,37
2015-11-23,252,540,77,168,343,271,2,136,56,63
2015-11-24,254,564,73,176,365,292,1,133,54,42
2015-11-25,208,513,56,111,319,294,0,123,70,49
2015-11-26,211,532,68,141,372,269,3,135,62,54
2015-11-27,189,479,66,151,281,244,3,116,50,48
2015-11-28,180,428,43,114,246,220,1,62,55,35
2015-11-29,183,447,48,118,287,295,0,73,35,52
2015-11-30,223,571,59,162,414,287,0,104,59,63
2015-12-01,213,549,61,166,354,248,2,104,61,61
2015-12-02,258,554,59,151,354,253,1,110,63,56
2015-12-03,230,540,58,138,352,299,0,89,59,40
2015-12-04,160,467,54,139,306,247,0,80,62,63
2015-12-05,173,400,41,123,221,219,0,46,36,39
2015-12-06,164,390,56,129,246,273,0,69,39,47
2015-12-07,172,458,57,166,280,245,1,60,70,49
2015-12-08,230,536,49,148,292,276,1,40,51,50
2015-12-09,300,574,86,141,373,296,0,69,51,58
2015-12-10,238,597,82,161,357,229,2,69,51,63
2015-12-11,230,508,58,147,348,255,3,67,56,67
2015-12-12,170,465,63,112,261,290,0,36,41,44
2015-12-13,158,591,59,139,266,318,1,25,69,45
2015-12-14,189,590,52,151,321,299,0,58,72,58
2015-12-15,227,563,75,138,316,232,0,54,71,51
2015-12-16,257,635,93,137,297,257,1,39,56,54
2015-12-17,218,520,129,122,289,265,1,43,54,64
2015-12-18,153,470,75,122,293,246,0,29,33,49
2015-12-19,182,460,50,127,248,262,0,32,40,53
2015-12-20,252,463,58,111,252,262,0,29,43,66
2015-12-21,244,528,59,140,277,262,0,34,44,45
2015-12-22,203,466,51,100,233,283,0,40,48,43
2015-12-23,164,455,72,129,257,241,0,19,17,53
2015-12-24,138,364,29,100,172,216,1,18,21,26
2015-12-25,147,371,52,85,179,286,0,10,20,40
2015-12-26,190,494,48,132,245,354,0,46,22,52
2015-12-27,229,577,76,138,253,345,1,32,20,75
2015-12-28,275,649,78,146,344,344,1,32,44,78
2015-12-29,255,738,68,158,361,292,0,26,52,64
2015-12-30,237,775,70,175,347,302,0,36,37,56
2015-12-31,169,507,44,95,198,235,0,16,31,46
