Date,"Influenza","Febbre","Rinorrea","Mialgia","Cefalea","Vomito","Vaccino influenza stagionale","Vaccino antinfluenzale","Amantadina","Antivirale"
2016-01-01,152,416,53,121,222,427,2,14,13,41
2016-01-02,260,583,89,129,314,390,0,15,39,52
2016-01-03,245,643,76,150,263,360,0,28,37,67
2016-01-04,280,765,123,177,347,381,0,25,50,66
2016-01-05,307,771,102,182,324,338,0,28,50,65
2016-01-06,255,709,73,134,308,348,0,23,37,57
2016-01-07,307,752,113,173,385,332,0,38,51,65
2016-01-08,328,688,103,185,352,308,0,32,54,94
2016-01-09,259,669,83,128,337,313,0,25,66,60
2016-01-10,274,725,86,156,338,338,1,45,48,87
2016-01-11,303,719,88,159,408,329,0,42,59,71
2016-01-12,312,766,93,205,422,315,0,29,56,59
2016-01-13,337,627,81,175,406,291,1,26,59,58
2016-01-14,281,679,94,161,413,301,0,31,57,72
2016-01-15,294,621,75,163,382,261,0,35,72,73
2016-01-16,248,558,71,168,301,279,1,22,50,64
2016-01-17,236,684,86,143,301,318,0,31,59,82
2016-01-18,357,668,83,167,381,340,0,50,65,84
2016-01-19,288,720,85,153,386,324,0,26,60,63
2016-01-20,272,753,70,177,373,261,0,24,77,59
2016-01-21,284,707,71,135,393,306,0,26,66,65
2016-01-22,265,653,71,162,378,306,1,36,67,66
2016-01-23,211,672,61,121,354,276,0,26,75,66
2016-01-24,290,792,67,157,409,342,0,28,60,85
2016-01-25,289,842,106,190,409,329,0,24,57,79
2016-01-26,304,871,103,174,456,343,0,32,69,75
2016-01-27,327,878,99,197,388,288,0,26,87,75
2016-01-28,333,837,103,213,391,275,2,33,63,94
2016-01-29,292,893,77,191,427,290,2,25,62,83
2016-01-30,295,704,80,159,333,290,0,20,51,69
2016-01-31,249,824,114,151,319,336,0,18,61,53
2016-02-01,357,1003,98,195,431,354,1,23,62,77
2016-02-02,373,1057,100,186,418,343,0,40,70,75
2016-02-03,378,956,90,192,432,303,1,34,74,71
2016-02-04,345,878,85,193,480,284,0,28,65,79
2016-02-05,315,841,83,136,431,309,0,28,56,83
2016-02-06,268,803,88,123,339,282,0,21,43,82
2016-02-07,297,898,82,154,348,307,0,18,57,63
2016-02-08,348,908,91,210,453,335,0,41,73,82
2016-02-09,373,963,110,216,492,331,0,28,89,85
2016-02-10,359,972,100,251,542,277,0,35,81,80
2016-02-11,368,1023,92,192,495,273,1,43,67,85
2016-02-12,312,922,80,187,414,265,0,34,59,79
2016-02-13,279,905,72,155,374,256,0,18,50,72
2016-02-14,304,982,68,166,357,298,0,26,45,58
2016-02-15,385,1006,78,198,466,313,2,30,73,71
2016-02-16,427,1052,89,185,455,349,2,22,85,79
2016-02-17,373,1051,90,221,471,326,0,31,68,71
2016-02-18,333,1002,96,240,504,316,0,24,59,86
2016-02-19,324,995,100,176,454,281,0,30,64,74
2016-02-20,250,845,77,162,330,256,0,24,54,67
2016-02-21,277,951,78,176,407,284,0,20,619,58
2016-02-22,362,1097,92,224,491,288,2,22,162,66
2016-02-23,314,1126,86,210,477,361,0,28,72,82
2016-02-24,408,1060,82,187,470,250,1,28,60,98
2016-02-25,330,1040,93,234,427,278,0,14,64,81
2016-02-26,292,876,73,182,372,273,0,24,49,77
2016-02-27,287,834,63,200,331,226,0,22,49,64
2016-02-28,242,925,56,161,383,333,1,29,46,63
2016-02-29,293,899,79,204,426,270,0,4,49,51
2016-03-01,328,882,84,199,436,270,0,14,52,74
2016-03-02,307,904,67,203,450,256,0,20,43,77
2016-03-03,295,992,68,198,494,248,0,22,61,71
2016-03-04,270,848,72,163,429,241,0,14,59,60
2016-03-05,245,813,77,163,339,241,1,6,51,49
2016-03-06,287,932,85,171,366,278,1,18,59,76
2016-03-07,312,936,74,171,557,321,2,27,49,76
2016-03-08,295,842,63,196,435,272,0,25,50,58
2016-03-09,309,967,80,184,420,219,0,22,55,71
2016-03-10,268,953,81,181,421,255,1,10,74,81
2016-03-11,225,786,68,169,409,239,0,12,39,65
2016-03-12,213,740,51,136,286,211,0,17,22,59
2016-03-13,204,898,76,151,313,272,2,12,33,56
2016-03-14,286,922,77,182,405,297,1,21,52,68
2016-03-15,276,951,80,180,429,262,0,14,54,68
2016-03-16,307,856,98,205,458,236,1,13,58,66
2016-03-17,294,865,82,217,423,231,1,16,59,73
2016-03-18,253,804,76,162,432,233,0,21,54,68
2016-03-19,236,758,65,134,286,225,0,15,40,42
2016-03-20,280,811,69,155,318,318,0,16,39,58
2016-03-21,318,965,92,183,432,266,0,21,54,67
