Date,Influenza,Febbre,Rinorrea,Mialgia,Cefalea,Vomito,Vaccino influenza stagionale,Vaccino antinfluenzale,Amantadina,Antivirale
2018-04-26,205,258,49,101,253,143,0,15,54,28
2018-04-27,131,268,44,90,227,125,0,14,61,37
2018-04-28,110,198,42,88,188,132,0,3,36,35
2018-04-29,136,203,53,104,195,119,0,3,31,29
2018-04-30,157,269,53,105,219,118,0,11,45,38
2018-05-01,129,289,54,98,210,114,0,9,54,24
2018-05-02,170,363,72,123,309,130,0,19,56,41
2018-05-03,165,302,52,129,311,124,0,13,48,52
2018-05-04,123,275,40,106,293,139,1,9,50,51
2018-05-05,162,278,49,102,256,135,0,14,59,34
2018-05-06,158,267,41,91,237,135,0,21,59,37
2018-05-07,198,302,41,114,312,127,0,15,68,31
2018-05-08,187,281,43,103,303,146,0,14,66,52
2018-05-09,219,301,41,132,292,137,0,24,63,63
2018-05-10,188,311,32,106,344,128,0,37,71,51
2018-05-11,176,279,52,123,299,131,0,28,50,26
2018-05-12,135,284,38,95,217,114,0,54,61,33
2018-05-13,116,231,30,102,250,148,0,28,64,34
2018-05-14,203,313,37,131,342,158,0,18,77,53
2018-05-15,175,388,54,125,317,159,0,26,89,58
2018-05-16,184,369,48,116,299,150,2,33,67,41
2018-05-17,166,307,53,129,324,148,0,28,80,43
2018-05-18,175,307,32,128,317,123,2,29,70,58
2018-05-19,144,252,33,106,254,125,0,20,64,33
2018-05-20,184,280,42,114,252,144,1,18,54,54
2018-05-21,179,386,45,129,305,136,0,23,84,48
2018-05-22,214,346,45,146,298,139,1,40,97,51
2018-05-23,175,337,52,133,287,126,1,51,75,64
2018-05-24,161,316,47,118,286,136,0,23,70,57
2018-05-25,131,258,36,104,222,98,0,30,49,54
2018-05-26,122,220,43,87,198,127,0,50,43,27
2018-05-27,151,265,40,87,204,123,0,14,67,36
2018-05-28,162,294,57,96,270,147,1,76,72,55
2018-05-29,166,328,31,128,266,108,0,22,109,71
2018-05-30,156,340,24,115,301,123,0,53,87,48
2018-05-31,156,299,41,105,272,130,0,38,87,58
2018-06-01,134,235,29,99,240,116,0,25,73,57
2018-06-02,126,262,30,82,219,152,0,22,67,41
2018-06-03,100,272,29,94,212,141,0,28,85,34
2018-06-04,155,305,44,118,256,126,0,27,126,51
2018-06-05,206,282,50,119,322,125,0,43,124,42
2018-06-06,215,279,41,129,259,109,0,54,91,38
2018-06-07,175,340,44,111,241,103,0,92,95,50
2018-06-08,212,263,28,117,276,104,1,76,99,47
2018-06-09,129,252,36,103,199,107,0,39,80,39
2018-06-10,115,284,40,90,206,140,0,29,68,43
2018-06-11,155,303,44,106,250,137,0,39,103,60
2018-06-12,160,333,39,105,318,116,1,49,93,52
2018-06-13,161,343,36,117,297,147,0,62,80,58
2018-06-14,166,349,35,128,289,130,14,46,62,49
2018-06-15,167,227,26,98,271,140,1,42,91,56
2018-06-16,136,340,23,91,236,104,1,31,78,36
2018-06-17,119,300,29,104,312,131,0,71,69,34
2018-06-18,168,311,39,141,294,145,0,81,99,49
2018-06-19,190,319,35,107,319,147,0,75,81,50
2018-06-20,171,287,22,115,284,117,1,64,87,40
2018-06-21,170,295,36,124,273,128,1,48,78,51
2018-06-22,184,314,36,97,236,216,0,71,76,50
2018-06-23,140,254,32,93,263,153,0,32,69,42
2018-06-24,124,259,35,103,253,151,0,33,84,41
2018-06-25,151,290,31,122,311,161,1,40,77,46
2018-06-26,161,293,43,101,337,218,0,25,99,60
2018-06-27,151,294,21,87,282,126,0,39,98,37
