Date,"Artralgia","Influenza aviaria","Influenzavirus A","Influenzavirus A sottotipo H1N1","Virus dell'influenza A sottotipo H1N1","Zanamivir","Influenza spagnola","Influenza e fortuna del pensiero di Nietzsche"
2016-01-01,41,51,9,225,8,6,218,23
2016-01-02,55,67,15,302,21,9,308,26
2016-01-03,65,80,16,157,16,10,236,23
2016-01-04,106,87,39,142,12,17,326,24
2016-01-05,84,57,26,93,13,16,254,28
2016-01-06,84,58,22,88,11,7,321,15
2016-01-07,118,69,27,64,7,11,330,26
2016-01-08,76,75,24,84,14,17,217,29
2016-01-09,59,77,24,66,9,9,240,18
2016-01-10,61,77,24,63,19,9,326,26
2016-01-11,92,61,37,89,26,15,267,25
2016-01-12,109,110,37,86,10,11,230,28
2016-01-13,104,98,19,99,8,13,263,27
2016-01-14,106,116,42,118,4,16,242,29
2016-01-15,88,97,47,116,9,11,222,18
2016-01-16,81,67,36,308,11,16,223,22
2016-01-17,78,72,37,164,13,15,311,17
2016-01-18,85,64,26,95,8,20,258,27
2016-01-19,111,74,26,120,12,12,230,24
2016-01-20,121,81,29,122,5,18,203,24
2016-01-21,92,75,28,117,8,21,286,32
2016-01-22,115,76,38,91,13,11,254,24
2016-01-23,73,72,18,90,10,19,198,21
2016-01-24,83,82,25,92,10,16,311,41
2016-01-25,112,103,39,104,3,15,298,43
2016-01-26,113,103,37,139,10,18,287,30
2016-01-27,121,66,47,167,9,15,285,43
2016-01-28,121,121,41,284,19,19,306,38
2016-01-29,107,96,41,183,10,16,318,29
2016-01-30,73,74,34,147,9,16,234,30
2016-01-31,60,90,26,121,5,19,282,34
2016-02-01,126,94,38,132,13,31,332,46
2016-02-02,108,100,36,150,28,18,293,32
2016-02-03,109,112,56,167,22,19,314,53
2016-02-04,97,107,25,155,14,17,258,28
2016-02-05,120,103,23,137,12,15,244,21
2016-02-06,79,93,31,126,11,14,253,27
2016-02-07,87,89,35,85,8,12,274,20
2016-02-08,116,119,47,152,8,12,306,37
2016-02-09,130,125,48,174,12,15,295,42
2016-02-10,118,120,40,142,11,17,295,31
2016-02-11,110,107,46,196,18,13,240,35
2016-02-12,99,99,26,176,16,14,249,30
2016-02-13,61,68,23,133,5,17,267,29
2016-02-14,60,80,31,102,15,15,232,20
2016-02-15,123,128,32,156,12,15,281,26
2016-02-16,121,135,41,193,11,23,328,31
2016-02-17,130,171,46,175,10,18,262,40
2016-02-18,126,162,42,195,9,12,253,40
2016-02-19,111,230,37,144,12,13,263,24
2016-02-20,79,127,45,127,15,12,242,19
2016-02-21,91,133,42,85,10,11,285,37
2016-02-22,114,147,45,114,8,13,312,27
2016-02-23,117,145,46,103,13,13,264,45
2016-02-24,120,103,52,116,29,13,375,40
2016-02-25,125,97,32,260,27,9,733,31
2016-02-26,101,78,33,158,13,6,349,24
2016-02-27,75,59,20,105,8,14,244,28
2016-02-28,81,77,18,120,34,11,308,47
2016-02-29,134,84,35,127,9,10,555,28
2016-03-01,118,74,38,174,10,12,513,33
2016-03-02,105,92,30,134,8,6,349,34
2016-03-03,126,114,24,149,13,15,370,33
2016-03-04,94,94,23,152,11,13,365,29
2016-03-05,66,75,28,107,9,12,341,17
2016-03-06,78,105,15,167,31,11,5328,33
2016-03-07,117,126,45,145,16,10,950,37
2016-03-08,91,82,31,157,7,15,674,27
2016-03-09,118,76,44,147,18,17,427,38
2016-03-10,99,91,50,130,10,7,377,30
2016-03-11,114,82,30,97,5,20,309,39
2016-03-12,60,68,19,175,8,11,263,16
2016-03-13,70,57,28,136,7,5,287,24
2016-03-14,111,99,40,131,22,17,351,27
2016-03-15,98,121,27,150,13,14,484,38
2016-03-16,104,86,24,125,12,11,320,32
2016-03-17,118,99,33,129,7,10,281,27
2016-03-18,84,63,39,207,10,8,246,21
2016-03-19,75,82,19,109,16,8,261,28
