Date,"Artralgia","Influenza aviaria","Influenzavirus A","Influenzavirus A sottotipo H1N1","Virus dell'influenza A sottotipo H1N1","Zanamivir","Influenza spagnola","Influenza e fortuna del pensiero di Nietzsche"
2016-03-20,83,71,26,81,13,6,283,27
2016-03-21,96,79,24,147,13,13,338,34
2016-03-22,89,102,25,123,10,18,285,30
2016-03-23,109,92,38,183,18,10,310,19
2016-03-24,80,76,30,209,17,3,368,21
2016-03-25,92,71,29,140,11,13,249,15
2016-03-26,55,60,9,97,10,10,303,14
2016-03-27,55,54,17,73,10,10,321,37
2016-03-28,72,58,18,97,9,8,297,25
2016-03-29,103,83,29,125,8,9,336,40
2016-03-30,109,87,43,125,21,13,294,28
2016-03-31,112,138,17,135,33,3,306,29
2016-04-01,91,81,21,160,14,6,269,40
2016-04-02,81,68,23,168,9,6,286,33
2016-04-03,68,81,27,130,11,7,275,26
2016-04-04,141,109,34,140,14,19,259,37
2016-04-05,108,101,29,145,11,7,257,21
2016-04-06,108,93,18,231,12,14,263,37
2016-04-07,107,89,24,145,9,22,244,35
2016-04-08,92,101,26,114,9,11,247,40
2016-04-09,61,77,23,98,5,7,207,24
2016-04-10,33,71,22,75,15,4,278,29
2016-04-11,86,88,33,113,11,7,234,34
2016-04-12,110,57,21,98,37,12,292,26
2016-04-13,115,58,15,111,14,5,247,31
2016-04-14,96,85,17,88,16,11,261,35
2016-04-15,105,76,13,106,9,13,278,25
2016-04-16,66,47,13,65,11,8,225,34
2016-04-17,70,63,15,66,6,7,250,33
2016-04-18,85,83,15,77,11,11,229,50
2016-04-19,129,100,27,81,11,10,310,50
2016-04-20,103,115,17,64,13,14,219,29
2016-04-21,101,107,21,96,5,14,215,34
2016-04-22,76,77,10,92,3,4,235,49
2016-04-23,62,57,6,77,18,7,199,26
2016-04-24,76,70,22,167,7,7,232,34
2016-04-25,47,69,12,96,6,2,240,35
2016-04-26,112,998,32,391,39,9,243,40
2016-04-27,109,152,20,116,5,8,189,40
2016-04-28,92,122,23,79,14,8,209,54
2016-04-29,96,72,15,60,7,6,186,61
2016-04-30,69,107,15,73,10,5,204,45
2016-05-01,67,76,17,54,11,9,216,50
2016-05-02,109,94,16,83,4,1,239,41
2016-05-03,85,133,24,62,11,13,262,59
2016-05-04,88,102,15,70,23,10,253,48
2016-05-05,102,77,29,72,26,9,221,34
2016-05-06,82,83,24,58,8,9,240,56
2016-05-07,70,60,21,68,9,8,351,28
2016-05-08,66,75,12,61,8,7,218,30
2016-05-09,95,90,16,66,14,9,245,44
2016-05-10,94,78,21,62,5,4,209,54
2016-05-11,106,81,30,111,9,11,255,41
2016-05-12,95,73,14,60,10,17,221,51
2016-05-13,66,82,15,45,22,24,367,46
2016-05-14,59,91,11,97,7,9,224,40
2016-05-15,60,297,13,179,18,3,347,42
2016-05-16,99,175,30,91,14,12,267,51
2016-05-17,97,139,16,84,5,12,292,51
2016-05-18,95,110,19,72,35,12,257,48
2016-05-19,96,119,15,72,12,9,259,38
2016-05-20,99,66,15,48,11,12,254,48
2016-05-21,57,70,19,48,7,10,243,34
2016-05-22,58,89,29,39,9,5,265,63
2016-05-23,102,118,17,44,12,8,253,96
2016-05-24,101,95,24,48,9,12,322,81
2016-05-25,121,133,31,64,16,7,381,72
2016-05-26,96,89,20,60,10,13,221,64
2016-05-27,73,198,22,69,12,10,360,56
2016-05-28,57,142,16,52,7,5,434,53
2016-05-29,76,137,12,65,15,9,492,65
2016-05-30,98,142,24,46,6,9,323,76
2016-05-31,103,240,20,68,4,16,265,46
2016-06-01,80,127,15,48,9,16,347,81
2016-06-02,75,105,15,67,13,9,386,96
2016-06-03,81,84,19,55,16,12,356,78
2016-06-04,45,73,15,52,10,14,282,61
2016-06-05,61,72,12,47,12,11,260,63
2016-06-06,82,99,19,54,17,14,276,100
2016-06-07,99,90,26,48,26,16,297,113
2016-06-08,78,122,52,46,18,11,265,114
2016-06-09,85,78,27,42,16,16,266,134
2016-06-10,106,69,24,44,24,8,257,139
2016-06-11,65,74,35,54,9,6,293,126
2016-06-12,76,65,22,42,13,12,262,130
2016-06-13,75,84,18,82,15,12,288,165
2016-06-14,113,110,20,78,7,22,323,143
2016-06-15,84,103,32,86,11,9,226,121
2016-06-16,107,116,24,51,6,10,184,123
2016-06-17,74,85,12,44,13,20,214,125
2016-06-18,72,78,29,51,13,8,232,98
2016-06-19,62,100,21,49,5,10,302,111
2016-06-20,96,96,28,47,9,14,287,99
2016-06-21,79,65,28,51,9,9,239,156
2016-06-22,96,76,21,41,8,15,201,29
2016-06-23,75,89,19,30,9,10,189,25
2016-06-24,87,61,21,28,8,9,178,51
2016-06-25,67,60,17,35,5,7,157,31
2016-06-26,59,58,18,42,4,8,211,29
2016-06-27,82,84,19,43,4,9,193,30
2016-06-28,104,82,23,38,7,10,172,87
2016-06-29,85,65,15,54,5,13,229,83
2016-06-30,78,69,21,40,4,8,197,102
2016-07-01,66,69,19,31,5,19,211,92
2016-07-02,45,63,29,60,9,5,138,69
2016-07-03,48,57,18,79,10,9,186,64
2016-07-04,90,60,23,39,7,14,289,76
2016-07-05,111,67,19,45,10,13,382,97
2016-07-06,88,133,27,78,8,4,234,72
2016-07-07,96,108,22,65,7,9,214,57
2016-07-08,66,71,20,49,5,13,166,40
2016-07-09,56,58,17,43,7,8,146,26
2016-07-10,54,51,13,37,6,8,183,22
2016-07-11,62,82,25,29,4,15,174,26
2016-07-12,88,50,26,52,9,11,213,34
2016-07-13,65,52,19,37,2,12,156,17
2016-07-14,72,50,22,54,13,14,161,19
2016-07-15,60,71,28,35,5,11,327,16
2016-07-16,54,57,18,30,5,17,149,7
2016-07-17,57,58,17,26,6,17,224,18
2016-07-18,67,56,27,28,7,10,193,12
2016-07-19,78,81,25,34,8,15,218,11
2016-07-20,76,116,22,34,4,8,201,15
2016-07-21,67,51,14,34,1,7,179,9
2016-07-22,66,56,9,36,3,4,153,11
2016-07-23,32,62,5,31,8,5,177,12
2016-07-24,51,66,11,43,5,3,186,11
2016-07-25,66,55,8,24,11,5,125,12
2016-07-26,79,60,34,28,5,2,182,14
2016-07-27,98,46,12,36,5,1,164,14
2016-07-28,64,38,6,32,5,5,243,11
2016-07-29,59,45,8,23,0,8,174,13
2016-07-30,71,46,6,36,3,0,145,9
2016-07-31,75,45,6,21,10,5,184,6
2016-08-01,86,46,8,18,4,3,202,10
2016-08-02,75,56,4,40,8,9,244,10
2016-08-03,74,64,2,29,6,7,180,10
2016-08-04,84,52,6,23,5,3,147,10
2016-08-05,72,54,5,22,1,3,154,5
2016-08-06,57,35,7,19,3,5,142,10
2016-08-07,54,41,8,21,6,1,127,21
2016-08-08,70,40,4,27,5,2,177,7
2016-08-09,66,39,4,28,1,4,164,9
2016-08-10,67,48,9,26,4,5,160,12
2016-08-11,80,53,10,20,2,7,170,11
2016-08-12,61,40,7,30,6,3,136,7
2016-08-13,47,34,8,30,4,3,151,12
2016-08-14,34,38,6,12,7,2,120,13
2016-08-15,23,45,3,12,13,4,162,4
2016-08-16,61,58,8,31,3,6,163,11
2016-08-17,66,46,7,28,8,1,163,16
2016-08-18,59,51,16,36,12,5,263,8
2016-08-19,49,56,28,28,3,6,195,10
2016-08-20,55,49,10,29,11,6,211,10
2016-08-21,39,44,6,26,2,0,165,13
2016-08-22,68,71,11,38,8,8,207,12
2016-08-23,76,74,22,56,6,7,195,12
2016-08-24,74,51,15,77,6,6,226,14
2016-08-25,93,59,18,36,9,10,206,18
2016-08-26,77,80,12,39,4,3,177,10
2016-08-27,37,54,12,35,2,3,197,16
2016-08-28,55,48,16,28,3,6,150,13
2016-08-29,66,45,13,22,7,8,221,13
2016-08-30,83,85,21,28,4,11,178,6
2016-08-31,275,78,14,35,5,8,216,29
2016-09-01,276,76,16,27,8,11,205,9
2016-09-02,144,76,40,35,11,3,192,14
2016-09-03,66,61,17,32,7,7,178,12
2016-09-04,70,62,21,27,20,8,173,11
2016-09-05,105,61,22,41,12,12,155,16
2016-09-06,126,75,30,29,8,9,166,17
2016-09-07,102,58,30,33,9,21,168,16
2016-09-08,109,65,205,31,12,11,233,16
2016-09-09,90,75,57,41,1,7,155,12
2016-09-10,69,67,30,35,8,6,221,12
2016-09-11,82,58,25,27,4,23,180,17
2016-09-12,119,82,24,44,4,12,181,14
2016-09-13,103,79,26,49,9,13,167,13
2016-09-14,66,66,15,38,6,8,219,14
2016-09-15,84,84,26,42,2,16,189,14
2016-09-16,85,40,23,25,6,11,157,17
2016-09-17,55,58,18,26,6,7,148,23
2016-09-18,73,57,17,31,7,2,227,13
2016-09-19,101,75,26,26,4,15,176,8
2016-09-20,75,61,21,35,8,15,176,10
2016-09-21,87,59,17,30,12,7,171,17
2016-09-22,75,57,22,40,4,11,183,12
2016-09-23,82,72,23,28,9,7,171,10
2016-09-24,65,48,7,19,7,6,176,21
2016-09-25,55,47,13,30,5,10,183,8
2016-09-26,90,60,34,70,23,3,1584,11
2016-09-27,90,54,16,46,8,6,703,20
2016-09-28,98,127,27,48,6,7,314,11
2016-09-29,74,183,18,38,6,7,263,7
2016-09-30,86,96,26,55,6,11,212,8
2016-10-01,46,79,10,38,14,7,213,19
2016-10-02,60,93,24,37,2,6,210,12
2016-10-03,79,106,21,37,5,8,213,20
2016-10-04,108,79,14,44,7,5,195,25
2016-10-05,81,67,21,28,12,13,210,17
2016-10-06,80,52,19,40,4,11,198,14
2016-10-07,67,62,8,35,2,7,221,13
2016-10-08,51,68,16,50,7,9,279,23
2016-10-09,63,78,11,53,7,10,292,16
2016-10-10,75,64,18,39,10,15,214,22
2016-10-11,96,90,22,35,4,14,205,18
2016-10-12,70,58,24,37,5,8,155,17
2016-10-13,73,62,20,44,3,15,221,18
2016-10-14,70,85,14,40,6,11,209,17
2016-10-15,68,61,11,30,4,6,186,25
2016-10-16,56,74,12,47,11,3,932,21
2016-10-17,77,57,22,42,4,10,554,23
2016-10-18,79,81,18,37,4,7,279,16
2016-10-19,107,76,23,39,12,13,242,12
2016-10-20,98,72,12,51,5,12,240,19
2016-10-21,63,59,13,36,5,9,201,15
2016-10-22,62,71,7,33,4,7,165,10
2016-10-23,68,82,16,39,9,14,195,17
2016-10-24,86,77,15,57,5,25,217,16
2016-10-25,77,107,20,52,6,13,292,19
2016-10-26,94,85,21,51,10,6,311,13
2016-10-27,98,68,23,33,12,10,415,20
2016-10-28,79,73,18,47,5,5,271,12
2016-10-29,49,46,15,31,11,7,187,15
2016-10-30,52,58,15,34,5,9,258,14
2016-10-31,65,118,31,361,27,7,275,14
2016-11-01,67,74,17,58,5,3,342,7
2016-11-02,86,79,37,48,10,8,247,10
2016-11-03,75,56,30,37,10,13,252,13
2016-11-04,92,67,23,62,17,10,276,16
2016-11-05,64,72,30,50,11,5,261,9
2016-11-06,61,82,14,52,8,8,321,14
2016-11-07,78,131,20,43,6,8,287,12
2016-11-08,100,177,34,46,10,10,286,24
2016-11-09,76,103,17,49,7,10,467,22
2016-11-10,82,107,22,47,5,9,332,19
2016-11-11,80,96,32,53,0,20,323,16
2016-11-12,52,100,19,36,6,12,223,13
2016-11-13,44,106,17,49,8,12,272,23
2016-11-14,91,122,23,61,6,5,259,21
2016-11-15,102,150,23,50,7,12,197,15
2016-11-16,92,136,212,53,7,16,248,8
2016-11-17,89,151,34,66,6,18,237,16
2016-11-18,69,152,20,47,2,14,239,19
2016-11-19,60,80,27,39,18,10,246,9
2016-11-20,66,101,19,39,11,24,276,19
2016-11-21,122,124,23,67,8,23,250,16
2016-11-22,91,103,35,48,6,14,243,17
2016-11-23,91,139,26,67,9,14,285,20
2016-11-24,84,107,27,50,10,13,265,20
2016-11-25,82,100,29,52,17,17,192,13
2016-11-26,64,80,25,33,4,7,218,17
2016-11-27,51,88,20,39,8,2,255,9
2016-11-28,105,145,19,46,4,13,277,12
2016-11-29,87,138,23,44,9,14,264,10
2016-11-30,51,151,31,68,8,5,207,19
2016-12-01,69,132,28,42,4,11,212,22
2016-12-02,60,87,35,42,9,15,189,12
2016-12-03,67,76,29,44,11,11,191,8
2016-12-04,49,96,23,43,5,9,254,16
2016-12-05,92,77,37,32,4,17,206,25
2016-12-06,91,294,34,71,2,17,214,19
2016-12-07,73,165,32,58,6,15,220,17
2016-12-08,64,93,23,49,6,6,243,21
2016-12-09,84,90,29,40,6,7,326,22
2016-12-10,49,85,33,32,6,15,237,20
2016-12-11,46,98,45,40,11,14,246,30
2016-12-12,103,88,49,54,9,14,246,21
2016-12-13,80,143,42,58,14,16,219,22
2016-12-14,111,87,43,50,14,18,229,15
2016-12-15,88,98,34,40,5,21,186,32
2016-12-16,88,88,32,39,3,15,245,21
2016-12-17,71,83,29,55,6,18,211,26
2016-12-18,63,78,38,47,16,17,235,18
2016-12-19,90,96,73,60,10,18,223,24
2016-12-20,69,99,58,63,4,14,242,17
2016-12-21,83,90,55,74,8,12,231,22
2016-12-22,82,68,42,54,10,8,218,22
2016-12-23,64,72,53,74,4,26,216,25
2016-12-24,30,46,34,50,7,13,203,16
2016-12-25,49,57,27,53,4,13,210,9
2016-12-26,58,76,37,84,13,18,289,8
2016-12-27,69,85,65,85,9,23,362,23
2016-12-28,69,324,78,107,10,35,323,16
2016-12-29,75,348,71,115,9,18,389,23
2016-12-30,75,217,73,113,8,24,335,16
2016-12-31,31,143,54,68,8,23,257,12
